asset_id,source_id,relative_path,media_type,byte_size,sha256,format_hint
2f41e491df0f9f51388ca6688476b01723ffa0762835becfe911c525fa6b750e,usgs_arra_2013,CI.CCC/CI.CCC/CI_CCC_Raw_Data/CCC_MASW/1011.dat,surface_wave_survey,1600484,100212685da570a7381c39fab0b9d5954f0d0c43a2b18a9af985ff0c54ceedd2,seg2
d124ecd39fd5e418c316cfcea693880433a13f871a69d14f235bdeb765ada476,usgs_arra_2013,CI.CCC/CI.CCC/CI_CCC_Raw_Data/CCC_MASW/1012.dat,surface_wave_survey,1600564,e723fd176d559685defc7ad086e42c6871a710a0b899fb60eab7c50b090c9cc0,seg2
979e37ac1bea30243393c19c6302b5a4a91d767947ffd1b880ae171c0fc73855,usgs_arra_2013,CI.CCC/CI.CCC/CI_CCC_Raw_Data/CCC_MASW/1013.dat,surface_wave_survey,1600576,d5c42df7092f9b64d5bb4c4d8bf979371c765b932c7a052d5115afde375773f4,seg2
d9a9f1c3d9e48e0ca44ec2db2fa723f1aa882ca86d74d682222bfdf044a15e05,usgs_arra_2013,CI.CCC/CI.CCC/CI_CCC_Raw_Data/CCC_MASW/1014.dat,surface_wave_survey,1600484,c3d5700ab1fe79209680be4a382780535089b0747398fe6c0aa445304ea3bcc8,seg2
de6344cfe0472c7de57b72e824b76bd5a789aa8fa45ad16b5ea474f8cb215362,usgs_arra_2013,CI.CCC/CI.CCC/CI_CCC_Raw_Data/CCC_MASW/1015.dat,surface_wave_survey,1600484,d5929d5bf72882b29c6b7399223249a21d017e34f00d39afa1d57646fefd9632,seg2
6f47fd3b2f659ff3bae07f00c96a594aef436fb546f8970bf88363281a64e78a,usgs_arra_2013,CI.CCC/CI.CCC/CI_CCC_Raw_Data/CCC_MASW/1016.dat,surface_wave_survey,1600484,0ceffe6d9baf2790c4d12465baa982a0bf468dc75bde676912c9cb1ac228da82,seg2
796a027cfc859ce39f53650f97f628f21842be642a1f07000ed29e25517fcb54,usgs_arra_2013,CI.CCC/CI.CCC/CI_CCC_Raw_Data/CCC_MASW/1017.dat,surface_wave_survey,1600556,98d39e3f62fcf4406a932aff0aa06d2f42c69e58038a5930a0de04b5e2aedd2b,seg2
093573808a8a52b5e188b27c75d27bdf5f5abc54b19abbd559e65c7212d01a46,usgs_arra_2013,CI.CCC/CI.CCC/CI_CCC_Raw_Data/CCC_MASW/1018.dat,surface_wave_survey,1600492,4b27f2a284c48c83e0be60bfaacee3331febbee3272022d29386de915cdf0185,seg2
759cf4b88a4ea18cba18adbad9e531e585bbf10455d22282c7c1ea8f53adead9,usgs_arra_2013,CI.CCC/CI.CCC/CI_CCC_Raw_Data/CCC_MASW/1019.dat,surface_wave_survey,1600564,88c45f79fe79e82908ff5b4a01961a0579261fd4eb6e3883c3f7a8899bbe7a6e,seg2
5e822ac94c026ce5db9fb1068c923a8b58e4cc42af35fe1ea6d3c801e9ed0832,usgs_arra_2013,CI.CCC/CI.CCC/CI_CCC_Raw_Data/CCC_MASW/1020.dat,surface_wave_survey,1600504,32c3122d4b779d690a7d4ec29fc50a12eff89dd3b179f7b0f19a1f6f05c0cbde,seg2
c50a561398be71d072858527d8a99c487b7bf9347e53f38e4c309b3223c7a72e,usgs_arra_2013,CI.CCC/CI.CCC/CI_CCC_Raw_Data/CCC_MASW/1021.dat,surface_wave_survey,1600512,a2eab5713eeaf0969b2aa1d26948ba32803a481883465dde084d5c05228771b9,seg2
1dad90d983e6ab0ba9482c5923ea3345a998a638a096d444f4c593e603978edb,usgs_arra_2013,CI.CCC/CI.CCC/CI_CCC_Raw_Data/CCC_Photos/Thumbs.db,unknown,21504,acf09fd2aebd48a335688a9ac9c7f6eefb47a748485a3c77ac66b05c710472f0,
f0c9fa0d49a928cafd6f38daf17199353a3c7e9e937ddaaa5dfd3b84ab9f09db,usgs_arra_2013,CI.CCC/CI.CCC/CI_CCC_Raw_Data/CCC_Photos/USGS 001.jpg,image,1590797,1015738c65cc2b2b69e9a14c5793ccbb13ddf48e622f98474f68733a07bdf3e8,
a11bbdd08cb53cdea4c3b9497c307d65415f32b1a0dd9aa5def7d0524df7e9f2,usgs_arra_2013,CI.CCC/CI.CCC/CI_CCC_Raw_Data/CCC_Photos/USGS 002.jpg,image,1542431,2e5436c04f2eac2108fc12f9dac7cb28eda99cda47b7bed75d45b3b4eed0f5a6,
